country,cases
Afghanistan,5488
Albania,5929
Algeria,7152
Andorra,8443
Angola,6028
Antigua and Barbuda,8580
Argentina,5449
Armenia,8473
Australia,4236
Austria,6236
Azerbaijan,6459
Bahamas,3844
Bahrain,4376
Bangladesh,2975
Barbados,8918
Belarus,567
Belgium,9637
Belize,2726
Benin,3834
Bhutan,4777
Bolivia,7918
Bosnia and Herzegovina,8122
Botswana,5289
Brazil,4800
Brunei,5681
Bulgaria,3928
Burkina Faso,9256
Burundi,8361
Côte d'Ivoire,710
Cabo Verde,3374
Cambodia,871
Cameroon,6482
Canada,202
Central African Republic,3682
Chad,8327
Chile,9572
China,7782
Colombia,1403
Comoros,8701
Congo,8701
Costa Rica,9787
Croatia,4736
Cuba,7992
Cyprus,8009
Czechia,4615
Democratic Republic of the Congo,5205
Denmark,7806
Djibouti,6789
Dominica,1182
Dominican Republic,7207
Ecuador,6399
Egypt,5820
El Salvador,1433
Equatorial Guinea,5374
Eritrea,9447
Estonia,7586
Eswatini,5219
Ethiopia,1059
Fiji,4147
Finland,4736
France,2645
Gabon,1863
Gambia,7743
Georgia,7369
Germany,4561
Ghana,2165
Greece,5684
Grenada,1352
Guatemala,187
Guinea,3241
Guinea-Bissau,6176
Guyana,1496
Haiti,6121
Holy See,2223
Honduras,6169
Hungary,3865
Iceland,9438
India,9026
Indonesia,6818
Iran,4499
Iraq,3595
Ireland,6131
Israel,4370
Italy,9024
Jamaica,6977
Japan,992
Jordan,602
Kazakhstan,9699
Kenya,6668
Kiribati,6532
Kuwait,6707
Kyrgyzstan,1709
Laos,2104
Latvia,3581
Lebanon,1289
Lesotho,7507
Liberia,3154
Libya,6078
Liechtenstein,3637
Lithuania,3250
Luxembourg,5702
Madagascar,384
Malawi,4386
Malaysia,6343
Maldives,9884
Mali,9590
Malta,1020
Marshall Islands,6528
Mauritania,2088
Mauritius,6351
Mexico,1613
Micronesia,9954
Moldova,6531
Monaco,5819
Mongolia,2533
Montenegro,4144
Morocco,4663
Mozambique,4747
Myanmar,2444
Namibia,6235
Nauru,1589
Nepal,3380
Netherlands,1103
New Zealand,6748
Nicaragua,6563
Niger,3172
Nigeria,1381
North Korea,7784
North Macedonia,1966
Norway,9496
Oman,3687
Pakistan,6625
Palau,8210
Palestine State,135
Panama,971
Papua New Guinea,6229
Paraguay,8380
Peru,6737
Philippines,961
Poland,9720
Portugal,9765
Qatar,8782
Romania,4686
Russia,5096
Rwanda,9768
Saint Kitts and Nevis,557
Saint Lucia,6049
Saint Vincent and the Grenadines,4512
Samoa,7393
San Marino,199
Sao Tome and Principe,391
Saudi Arabia,4417
Senegal,2828
Serbia,9796
Seychelles,1202
Sierra Leone,3594
Singapore,2961
Slovakia,4809
Slovenia,1187
Solomon Islands,6887
Somalia,3180
South Africa,8805
South Korea,4143
South Sudan,9183
Spain,641
Sri Lanka,2168
Sudan,6925
Suriname,5652
Sweden,5666
Switzerland,8651
Syria,2654
Tajikistan,5090
Tanzania,5233
Thailand,9168
Timor-Leste,939
Togo,9212
Tonga,5760
Trinidad and Tobago,831
Tunisia,9293
Turkey,2777
Turkmenistan,3186
Tuvalu,93
Uganda,6674
Ukraine,8424
United Arab Emirates,1318
United Kingdom,6472
United States of America,7164
Uruguay,8414
Uzbekistan,2894
Vanuatu,2647
Venezuela,1832
Vietnam,3978
Yemen,5865
Zambia,5528
Zimbabwe,201
